frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[1708.3443603515625 0.0 3332.133056640625 1417.3082275390625],[2128.3984375 1108.0257568359375 2743.75439453125 1307.5535888671875],0.7254118919372559,PIH-611,0.81780865982234
0,1.0,[237.48046875 94.04498291015625 1796.126220703125 1109.816650390625],[480.55645751953125 866.1361083984375 852.4859619140625 1013.3404541015625],0.7024116516113281,WIACU-805,0.35509078428357466
1,1.0,[235.5378779302613 94.25448406365626 1793.0752307424077 1109.4764555050283],[475.97735595703125 864.14208984375 853.8001098632812 1014.6837158203125],0.706411600112915,WIACU-805,0.4435202728779508
2,3.0,[1704.0825059651374 0.08956994197149015 3328.9759014985298 1420.0077503040102],[2134.76025390625 1108.73876953125 2747.2158203125 1299.7686767578125],0.7271283268928528,PIH-611,0.4706618206599924
4,3.0,[1699.5177376904035 0.9853506695693568 3326.327995180393 1425.537412457556],[2138.072021484375 1117.8812255859375 2742.238037109375 1305.252685546875],0.7187694907188416,PIH-611,0.8048524836464348
5,3.0,[1698.7962647389675 0.09412667723472623 3324.579503619927 1423.8596976430124],[2132.252197265625 1110.210693359375 2740.2861328125 1308.7113037109375],0.7458416819572449,PIH-611,0.5528214859817654
5,1.0,[233.8650642684404 100.08626019653076 1786.6562652960201 1108.0007738094184],[475.83416748046875 866.7535400390625 855.6558837890625 1021.9083251953125],0.7157275080680847,HIACU-805,0.7043590611334248
6,3.0,[1695.503233102705 0.6885208510822167 3322.0401879674537 1425.1320316223973],[2141.197998046875 1118.386962890625 2734.61669921875 1304.2071533203125],0.7294039726257324,PIH-611,0.5237192664252598
6,1.0,[229.47401065714587 101.57622639044644 1781.8713258230991 1108.1284356410556],[470.7913513183594 870.0829467773438 845.7001342773438 1019.6024780273438],0.7001453638076782,EIACU-805,0.7134278533086246
7,3.0,[1695.8149956993113 0.9897130130693768 3321.6940797751477 1426.8597985860888],[2141.8828125 1120.8077392578125 2734.697021484375 1305.79443359375],0.7326034307479858,PIH-611,0.704561275017264
