frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,237.48046875 94.04498291015625 1796.126220703125 1109.816650390625,480.55645751953125 866.1361083984375 852.4859619140625 1013.3404541015625,0.7024116516113281,WIACU-805,0.35509078428357466
1,1,235.5378779302613 94.25448406365626 1793.0752307424077 1109.4764555050283,475.97735595703125 864.14208984375 853.8001098632812 1014.6837158203125,0.706411600112915,WIACU-805,0.4435202728779508
2,1,235.11967451480606 95.71242809687489 1791.4704893808107 1109.107535081126,475.9415588378906 864.7949523925781 854.2640533447266 1016.4898681640625,0,0,0
3,1,234.70147109935084 97.17037213009351 1789.865748019214 1108.7386146572235,475.90576171875 865.4478149414062 854.7279968261719 1018.2960205078125,0,0,0
4,1,234.28326768389562 98.62831616331214 1788.2610066576171 1108.3696942333208,475.8699645996094 866.1006774902344 855.1919403076172 1020.1021728515625,0,0,0
5,1,233.8650642684404 100.08626019653076 1786.6562652960201 1108.0007738094184,475.83416748046875 866.7535400390625 855.6558837890625 1021.9083251953125,0.7157275080680847,HIACU-805,0.7043590611334248
6,1,229.47401065714587 101.57622639044644 1781.8713258230991 1108.1284356410556,470.7913513183594 870.0829467773438 845.7001342773438 1019.6024780273438,0.7001453638076782,EIACU-805,0.7134278533086246
7,1,227.7243063870071 102.84297998414917 1781.4779719002074 1108.9048608255757,468.5165710449219 869.3841145833334 844.7643839518229 1019.4466145833334,0,0,0
8,1,225.97460211686828 104.1097335778519 1781.084617977316 1109.6812860100956,466.2417907714844 868.6852823893229 843.8286336263021 1019.2907511393229,0,0,0
9,1,224.2248978467295 105.37648717155463 1780.6912640544242 1110.4577111946157,463.9670104980469 867.9864501953125 842.8928833007812 1019.1348876953125,0.7051868438720703,FIACU-805,0.45496284090420275
10,1,216.94522767150931 103.93528678201461 1778.6632327665175 1110.2336625510911,459.0743179321289 868.4768981933594 837.7331085205078 1019.2988586425781,0,0,0
11,1,209.66555749628913 102.4940863924746 1776.6352014786105 1110.0096139075667,454.18162536621094 868.9673461914062 832.5733337402344 1019.4628295898438,0,0,0
12,1,202.38588732106894 101.05288600293459 1774.6071701907035 1109.7855652640421,449.28893280029297 869.4577941894531 827.4135589599609 1019.6268005371094,0,0,0
13,1,195.10621714584875 99.61168561339457 1772.5791389027968 1109.5615166205175,444.396240234375 869.9482421875 822.2537841796875 1019.790771484375,0.701255738735199,ACU-805,0.7406803953257939
14,1,196.26383585824314 103.32309895789807 1772.1264356743093 1110.3220343857065,446.6192626953125 870.4215698242188 824.1013793945312 1020.5679321289062,0,0,0
15,1,197.4214545706375 107.03451230240155 1771.673732445822 1111.0825521508953,448.84228515625 870.8948974609375 825.948974609375 1021.3450927734375,0,0,0
16,1,198.5790732830319 110.74592564690505 1771.2210292173345 1111.8430699160842,451.0653076171875 871.3682250976562 827.7965698242188 1022.1222534179688,0.6963164806365967,GIACU-805,0.7419344001870648
17,1,199.47708820114985 113.88697991694306 1768.825360003496 1114.7066260379725,445.4988098144531 873.4673156738281 824.8152770996094 1022.8242492675781,0,0,0
18,1,200.3751031192678 117.02803418698107 1766.4296907896573 1117.570182159861,439.93231201171875 875.56640625 821.833984375 1023.5262451171875,0.6910622715950012,EIACU-805,0.6880415794887551
19,1,196.33147464854926 115.80841570273873 1762.99811407288 1115.7737438896054,440.4590148925781 873.113525390625 818.8840942382812 1023.7582397460938,0.7049403786659241,WIACU-805,0.6833283957722096
20,1,196.41841942407314 116.9029152002783 1762.5713040096225 1118.204972344401,439.0088195800781 872.738525390625 818.6430053710938 1028.632080078125,0.6911659836769104,WIACU-805,0.6750530626281944
21,1,191.96514079649722 118.47024827889564 1760.150076005507 1118.7855706276605,437.3947448730469 875.1997375488281 814.4546203613281 1030.2451782226562,0,0,0
22,1,187.5118621689213 120.03758135751298 1757.7288480013913 1119.36616891092,435.7806701660156 877.6609497070312 810.2662353515625 1031.8582763671875,0.6859067678451538,ACU-805,0.4406361052107105
